Applicant_Name,Gender,State,District,PinCode,GID,Owner,TypeOfConnection,Status,connection_no,connection_date,Connection_Status
Olivia Johnson,Female,Karnataka,Mysuru,503116,PASSPORT,JOINT,Residential,CONNECTING,EB000001,2026-06-11,PENDING
Sophia Verma,Male,Andhra Pradesh,Nellore,673922,ADHAR,INDIVIDUAL,Commercial,UNKNOWN,EB000002,2026-06-11,PENDING
Manoj Verma,Female,Telangana,Hyderabad,571248,PAN,INDIVIDUAL,Commercial,Connection Released,EB000003,2026-06-11,RELEASED
Thomas Taylor,Female,Karnataka,Bengaluru,686175,VOTER_ID,JOINT,Commercial,Connection Released,EB000004,2026-06-11,RELEASED
Varun Wilson,Female,Kerala,Kochi,539969,PASSPORT,JOINT,Commercial,Connection Released,EB000005,2026-06-11,RELEASED
Meera Moore,Male,Karnataka,Mangaluru,598934,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB000006,2026-06-11,RELEASED
Deepak Smith,Male,Andhra Pradesh,Visakhapatnam,570973,ADHAR,JOINT,Residential,Connection Released,EB000007,2026-06-11,RELEASED
Evelyn Wilson,Male,Telangana,Karimnagar,645768,PAN,INDIVIDUAL,Residential,Connection Released,EB000008,2026-06-11,RELEASED
Prakash Smith,Male,Karnataka,Hubballi,523853,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB000009,2026-06-11,RELEASED
Vikram Wilson,Male,Tamil Nadu,Salem,598129,PAN,JOINT,Commercial,Connection Released,EB000010,2026-06-11,RELEASED
Vikram Anderson,Female,Karnataka,Mysuru,653070,VOTER_ID,JOINT,Commercial,Connection Released,EB000011,2026-06-11,RELEASED
James Anderson,Male,Telangana,Nizamabad,607367,VOTER_ID,JOINT,Residential,Connection Released,EB000012,2026-06-11,RELEASED
Rohit Singh,Female,Kerala,Thrissur,645402,ADHAR,JOINT,Residential,Connection Released,EB000013,2026-06-11,RELEASED
Mia Taylor,Female,Kerala,Kozhikode,531676,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB000014,2026-06-11,RELEASED
Olivia Smith,Female,Karnataka,Hubballi,656337,PAN,INDIVIDUAL,Residential,Connection Released,EB000015,2026-06-11,RELEASED
Abigail Thomas,Male,Telangana,Khammam,551455,VOTER_ID,INDIVIDUAL,Commercial,FAILED,EB000016,2026-06-11,PENDING
Jack Davis,Female,Karnataka,Mangaluru,605989,VOTER_ID,JOINT,Residential,Connection Released,EB000017,2026-06-11,RELEASED
Rohit Wilson,Female,Telangana,Warangal,563904,PAN,JOINT,Residential,CONNECTING,EB000018,2026-06-11,PENDING
Rohit Taylor,Male,Telangana,Karimnagar,607274,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000019,2026-06-11,RELEASED
Jack Gupta,Female,Karnataka,Mangaluru,682853,ADHAR,JOINT,Commercial,DISCONNECTED,EB000020,2026-06-11,DISCONNECTED
Mia Reddy,Female,Telangana,Karimnagar,552771,ADHAR,INDIVIDUAL,Commercial,DISCONNECTED,EB000021,2026-06-11,DISCONNECTED
James Nair,Female,Tamil Nadu,Coimbatore,626181,PAN,INDIVIDUAL,Commercial,Connection Released,EB000022,2026-06-11,RELEASED
Prakash Thomas,Male,Tamil Nadu,Chennai,532839,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB000023,2026-06-11,RELEASED
Deepak Sharma,Male,Tamil Nadu,Chennai,689744,PAN,JOINT,Commercial,Connection Released,EB000024,2026-06-11,RELEASED
Arjun Verma,Male,Telangana,Nizamabad,533970,PAN,INDIVIDUAL,Commercial,Connection Released,EB000025,2026-06-11,RELEASED
Olivia Davis,Male,Tamil Nadu,Chennai,543861,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000026,2026-06-11,RELEASED
James Gupta,Female,Tamil Nadu,Coimbatore,639219,PAN,INDIVIDUAL,Commercial,DISCONNECTED,EB000027,2026-06-11,DISCONNECTED
Kavya Johnson,Female,Karnataka,Bengaluru,575252,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB000028,2026-06-11,RELEASED
Kavya Anderson,Female,Andhra Pradesh,Kurnool,533260,PAN,INDIVIDUAL,Commercial,Connection Released,EB000029,2026-06-11,RELEASED
Emma Thomas,Male,Kerala,Kochi,594363,VOTER_ID,INDIVIDUAL,Commercial,DISCONNECTED,EB000030,2026-06-11,DISCONNECTED
Charlotte Singh,Male,Kerala,Thrissur,579773,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB000031,2026-06-11,RELEASED
Charlotte Brown,Male,Andhra Pradesh,Vijayawada,611807,VOTER_ID,JOINT,Commercial,FAILED,EB000032,2026-06-11,PENDING
Evelyn Patel,Male,Karnataka,Mysuru,597355,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB000033,2026-06-11,RELEASED
William Iyer,Female,Tamil Nadu,Salem,632933,PASSPORT,INDIVIDUAL,Residential,FAILED,EB000034,2026-06-11,PENDING
Divya Reddy,Male,Tamil Nadu,Tirunelveli,634638,PASSPORT,JOINT,Commercial,Connection Released,EB000035,2026-06-11,RELEASED
Amit Thomas,Female,Tamil Nadu,Salem,633337,VOTER_ID,JOINT,Residential,Connection Released,EB000036,2026-06-11,RELEASED
Naveen Reddy,Male,Karnataka,Bengaluru,586889,PASSPORT,JOINT,Residential,Connection Released,EB000037,2026-06-11,RELEASED
Ananya Wilson,Female,Tamil Nadu,Madurai,651728,PASSPORT,JOINT,Residential,Connection Released,EB000038,2026-06-11,RELEASED
Vikram Kumar,Female,Telangana,Nizamabad,514241,VOTER_ID,JOINT,Commercial,Connection Released,EB000039,2026-06-11,RELEASED
Prakash Brown,Male,Kerala,Kozhikode,699519,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB000040,2026-06-11,RELEASED
Manoj Moore,Female,Telangana,Karimnagar,614090,VOTER_ID,INDIVIDUAL,Commercial,DISCONNECTED,EB000041,2026-06-11,DISCONNECTED
Olivia Davis,Male,Kerala,Kochi,527017,PAN,JOINT,Residential,CONNECTING,EB000042,2026-06-11,PENDING
Varun Wilson,Male,Tamil Nadu,Tirunelveli,688735,VOTER_ID,INDIVIDUAL,Residential,FAILED,EB000043,2026-06-11,PENDING
Rohit Davis,Male,Kerala,Kannur,638524,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB000044,2026-06-11,RELEASED
Deepak Thomas,Male,Karnataka,Bengaluru,626884,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB000045,2026-06-11,RELEASED
Rahul Iyer,Male,Tamil Nadu,Chennai,506164,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB000046,2026-06-11,RELEASED
Manoj Brown,Male,Karnataka,Belagavi,678554,VOTER_ID,INDIVIDUAL,Commercial,CONNECTING,EB000047,2026-06-11,PENDING
Divya Singh,Male,Kerala,Kannur,698958,VOTER_ID,JOINT,Commercial,Connection Released,EB000048,2026-06-11,RELEASED
Thomas Taylor,Female,Telangana,Nizamabad,678470,ADHAR,INDIVIDUAL,Residential,Connection Released,EB000049,2026-06-11,RELEASED
William Miller,Female,Kerala,Kozhikode,591196,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB000050,2026-06-11,RELEASED
Divya Nair,Female,Tamil Nadu,Chennai,568971,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000051,2026-06-11,RELEASED
Robert Gupta,Female,Tamil Nadu,Madurai,564090,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000052,2026-06-11,RELEASED
Naveen Smith,Male,Tamil Nadu,Tirunelveli,588025,PAN,JOINT,Commercial,UNKNOWN,EB000053,2026-06-11,PENDING
Daniel Iyer,Female,Karnataka,Bengaluru,631550,PASSPORT,JOINT,Commercial,Connection Released,EB000054,2026-06-11,RELEASED
